 time            vo1             vo2             vcmp            p1              p2             
 8.90148438e-06 -1.24984552e-01  6.68238622e-02  1.49999961e+00  0.00000000e+00  7.27734375e-01 
 8.91924479e-06 -1.24978752e-01  6.68590434e-02  1.49999961e+00  0.00000000e+00  4.61328125e-01 
 8.95000000e-06 -1.24967785e-01  6.69248943e-02  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 8.95355208e-06 -1.24966410e-01  6.69328446e-02  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 8.96065625e-06 -1.24963824e-01  6.69487056e-02  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 8.97486458e-06 -1.24958542e-01  6.69802387e-02  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 9.00000000e-06 -1.24949350e-01  6.70353928e-02  1.49999961e+00  0.00000000e+00  0.00000000e+00 
 9.00191718e-06 -1.24574177e-01  6.92861387e-02  1.50000244e+00  2.87576737e-02  0.00000000e+00 
 9.00575153e-06 -1.23829449e-01  7.37546801e-02  1.50000251e+00  8.62730212e-02  0.00000000e+00 
 9.01342025e-06 -1.23598357e-01  7.51412664e-02  1.50000259e+00  2.01303716e-01  0.00000000e+00 
 9.01931868e-06 -1.29056851e-01  4.23904369e-02  1.50000268e+00  2.89780153e-01  0.00000000e+00 
 9.02350137e-06 -1.30711698e-01  3.24614265e-02  1.50000276e+00  3.52520585e-01  0.00000000e+00 
 9.02807336e-06 -1.31276682e-01  2.90715071e-02  1.50000285e+00  4.21100418e-01  0.00000000e+00 
 9.03469057e-06 -1.31965423e-01  2.49388413e-02  1.50000298e+00  5.20358476e-01  0.00000000e+00 
 9.04148047e-06 -1.32571874e-01  2.13001216e-02  1.50000314e+00  6.22207116e-01  0.00000000e+00 
 9.05120345e-06  5.22349169e-05  1.72572954e-02  1.50000336e+00  7.68051779e-01  0.00000000e+00 
 9.06353564e-06  5.22345472e-05  1.42252369e-02  1.50000350e+00  9.53034527e-01  0.00000000e+00 
 9.08285739e-06  5.22343215e-05  1.32488239e-02  1.50000198e+00  1.24286078e+00  0.00000000e+00 
 9.10000000e-06  5.22342514e-05  1.32452416e-02  1.50000110e+00  1.50000000e+00  0.00000000e+00 
 9.10095579e-06  5.22342509e-05  1.32394463e-02  1.49999955e+00  1.50000000e+00  0.00000000e+00 
 9.10286737e-06  5.22342500e-05  1.32394696e-02  1.49999952e+00  1.50000000e+00  0.00000000e+00 
 9.10669053e-06  5.22342480e-05  1.32395477e-02  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 9.11433685e-06  5.22342441e-05  1.32396933e-02  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 9.12962948e-06  5.22342362e-05  1.32399846e-02  1.49999953e+00  1.50000000e+00  0.00000000e+00 
 9.16021476e-06  5.22342205e-05  1.32405671e-02  1.49999953e+00  1.50000000e+00  0.00000000e+00 
