 time            vo1             p1              p2             
 5.00010000e-07  9.56859127e-01  1.80000000e+00  0.00000000e+00 
 5.00030000e-07  9.56859127e-01  1.80000000e+00  0.00000000e+00 
 5.00070000e-07  9.56859127e-01  1.80000000e+00  0.00000000e+00 
 5.00100000e-07  9.56859127e-01  1.80000000e+00  0.00000000e+00 
 5.00108000e-07  9.56859127e-01  1.65600000e+00  0.00000000e+00 
 5.00124000e-07  9.56859127e-01  1.36800000e+00  0.00000000e+00 
 5.00129569e-07  9.56859127e-01  1.26775000e+00  0.00000000e+00 
 5.00139316e-07  9.56859127e-01  1.09231250e+00  0.00000000e+00 
 5.00150107e-07  9.56859232e-01  8.98078125e-01  0.00000000e+00 
 5.00171688e-07  9.56859232e-01  5.09609375e-01  0.00000000e+00 
 5.00200000e-07  9.56859232e-01  0.00000000e+00  0.00000000e+00 
 5.00204316e-07  9.56859232e-01  0.00000000e+00  0.00000000e+00 
 5.00212949e-07  9.56859232e-01  0.00000000e+00  0.00000000e+00 
 5.00230214e-07  9.56859232e-01  0.00000000e+00  0.00000000e+00 
 5.00264745e-07  9.56859232e-01  0.00000000e+00  0.00000000e+00 
 5.00333806e-07  9.56859232e-01  0.00000000e+00  0.00000000e+00 
 5.00471928e-07  9.56859232e-01  0.00000000e+00  0.00000000e+00 
 5.00748173e-07  9.56859232e-01  0.00000000e+00  0.00000000e+00 
 5.01300661e-07  9.56859232e-01  0.00000000e+00  0.00000000e+00 
 5.02405639e-07  9.56859232e-01  0.00000000e+00  0.00000000e+00 
 5.04615595e-07  9.56859233e-01  0.00000000e+00  0.00000000e+00 
 5.05100000e-07  9.56859233e-01  0.00000000e+00  0.00000000e+00 
 5.05110000e-07  9.56859233e-01  0.00000000e+00  1.80000000e-01 
 5.05127778e-07  9.56859233e-01  0.00000000e+00  5.00000000e-01 
 5.05132639e-07  9.56859233e-01  0.00000000e+00  5.87500000e-01 
 5.05141146e-07  9.56859233e-01  0.00000000e+00  7.40625000e-01 
 5.05150564e-07  2.06981070e-01  0.00000000e+00  9.10156250e-01 
 5.05165330e-07  2.07230648e-01  0.00000000e+00  1.17594169e+00 
 5.05181534e-07  2.07531448e-01  0.00000000e+00  1.46761784e+00 
 5.05200000e-07  2.07884591e-01  0.00000000e+00  1.80000000e+00 
 5.05203241e-07  2.07947534e-01  0.00000000e+00  1.80000000e+00 
 5.05209723e-07  2.08073408e-01  0.00000000e+00  1.80000000e+00 
 5.05222686e-07  2.08325098e-01  0.00000000e+00  1.80000000e+00 
 5.05248613e-07  2.08828241e-01  0.00000000e+00  1.80000000e+00 
 5.05300466e-07  2.09833576e-01  0.00000000e+00  1.80000000e+00 
 5.05404173e-07  2.11840439e-01  0.00000000e+00  1.80000000e+00 
 5.05611587e-07  2.15838981e-01  0.00000000e+00  1.80000000e+00 
 5.06026416e-07  2.23775737e-01  0.00000000e+00  1.80000000e+00 
 5.06856072e-07  2.39411153e-01  0.00000000e+00  1.80000000e+00 
 5.07757420e-07  2.56043789e-01  0.00000000e+00  1.80000000e+00 
 5.08992314e-07  2.78247624e-01  0.00000000e+00  1.80000000e+00 
 5.10290852e-07  3.00887157e-01  0.00000000e+00  1.80000000e+00 
 5.11879300e-07  3.27626288e-01  0.00000000e+00  1.80000000e+00 
 5.13575534e-07  3.55061350e-01  0.00000000e+00  1.80000000e+00 
 5.15580834e-07  3.86068733e-01  0.00000000e+00  1.80000000e+00 
 5.17773727e-07  4.18289623e-01  0.00000000e+00  1.80000000e+00 
 5.20354955e-07  4.54080602e-01  0.00000000e+00  1.80000000e+00 
 5.23264042e-07  4.91816761e-01  0.00000000e+00  1.80000000e+00 
 5.26745797e-07  5.33615993e-01  0.00000000e+00  1.80000000e+00 
 5.30845371e-07  5.78517151e-01  0.00000000e+00  1.80000000e+00 
 5.35969200e-07  6.28727814e-01  0.00000000e+00  1.80000000e+00 
 5.42462982e-07  6.84071980e-01  0.00000000e+00  1.80000000e+00 
 5.51378639e-07  7.47314295e-01  0.00000000e+00  1.80000000e+00 
 5.61378639e-07  8.03822692e-01  0.00000000e+00  1.80000000e+00 
 5.71378639e-07  8.48054718e-01  0.00000000e+00  1.80000000e+00 
 5.81378639e-07  8.82580657e-01  0.00000000e+00  1.80000000e+00 
 5.91378639e-07  9.09494934e-01  0.00000000e+00  1.80000000e+00 
 6.01378639e-07  9.30462617e-01  0.00000000e+00  1.80000000e+00 
 6.11378639e-07  9.46792793e-01  0.00000000e+00  1.80000000e+00 
 6.21378639e-07  9.59509397e-01  0.00000000e+00  1.80000000e+00 
 6.31378639e-07  9.69411398e-01  0.00000000e+00  1.80000000e+00 
 6.41378639e-07  9.77121522e-01  0.00000000e+00  1.80000000e+00 
 6.51378639e-07  9.83124868e-01  0.00000000e+00  1.80000000e+00 
 6.61378639e-07  9.87799231e-01  0.00000000e+00  1.80000000e+00 
 6.71378639e-07  9.91438800e-01  0.00000000e+00  1.80000000e+00 
 6.81378639e-07  9.94272651e-01  0.00000000e+00  1.80000000e+00 
 6.91378639e-07  9.96479150e-01  0.00000000e+00  1.80000000e+00 
 7.01378639e-07  9.98197178e-01  0.00000000e+00  1.80000000e+00 
 7.11378639e-07  9.99534872e-01  0.00000000e+00  1.80000000e+00 
 7.21378639e-07  1.00057643e+00  0.00000000e+00  1.80000000e+00 
 7.31378639e-07  1.00138741e+00  0.00000000e+00  1.80000000e+00 
 7.41378639e-07  1.00201886e+00  0.00000000e+00  1.80000000e+00 
 7.51378639e-07  1.00251051e+00  0.00000000e+00  1.80000000e+00 
 7.61378639e-07  1.00289333e+00  0.00000000e+00  1.80000000e+00 
 7.71378639e-07  1.00319140e+00  0.00000000e+00  1.80000000e+00 
 7.81378639e-07  1.00342348e+00  0.00000000e+00  1.80000000e+00 
 7.91378639e-07  1.00360419e+00  0.00000000e+00  1.80000000e+00 
 8.01378639e-07  1.00374489e+00  0.00000000e+00  1.80000000e+00 
 8.11378639e-07  1.00385445e+00  0.00000000e+00  1.80000000e+00 
 8.21378639e-07  1.00393975e+00  0.00000000e+00  1.80000000e+00 
 8.31378639e-07  1.00400617e+00  0.00000000e+00  1.80000000e+00 
 8.41378639e-07  1.00405788e+00  0.00000000e+00  1.80000000e+00 
