 time            vcmp            p1              p2             
 4.53741665e-06  1.36280401e+00  5.61249740e-01  0.00000000e+00 
 4.53880912e-06  1.34413742e+00  5.82136729e-01  0.00000000e+00 
 4.54159405e-06  1.30880870e+00  6.23910709e-01  0.00000000e+00 
 4.54453268e-06  1.26975378e+00  6.67990204e-01  0.00000000e+00 
 4.54853890e-06  1.20468154e+00  7.28083532e-01  0.00000000e+00 
 4.55000819e-06  1.17559119e+00  7.50122789e-01  0.00000000e+00 
 4.55072479e-06  1.16071792e+00  7.60871805e-01  0.00000000e+00 
 4.55137654e-06  1.14641268e+00  7.70648103e-01  0.00000000e+00 
 4.55209942e-06  1.12990398e+00  7.81491360e-01  0.00000000e+00 
 4.55354519e-06  1.09541933e+00  8.03177875e-01  0.00000000e+00 
 4.55586328e-06  1.03794005e+00  8.37949240e-01  0.00000000e+00 
 4.55991752e-06  9.41208781e-01  8.98762781e-01  0.00000000e+00 
 4.56568285e-06  8.34896807e-01  9.85242685e-01  0.00000000e+00 
 4.57031503e-06  7.83394107e-01  1.05472547e+00  0.00000000e+00 
 4.57106399e-06  7.77992995e-01  1.06595992e+00  0.00000000e+00 
 4.57171853e-06  7.73250501e-01  1.07577793e+00  0.00000000e+00 
 4.57209613e-06  7.70133920e-01  1.08144195e+00  0.00000000e+00 
 4.57248263e-06  7.66322601e-01  1.08723945e+00  0.00000000e+00 
 4.57305030e-06  7.60057941e-01  1.09575449e+00  0.00000000e+00 
 4.57324870e-06  7.60169878e-01  1.09873047e+00  0.00000000e+00 
 4.57350379e-06  7.62861967e-01  1.10255679e+00  0.00000000e+00 
 4.57373422e-06  7.64610860e-01  1.10601327e+00  0.00000000e+00 
 4.57398020e-06  7.64914200e-01  1.10970302e+00  0.00000000e+00 
 4.57428790e-06  7.64205696e-01  1.11431857e+00  0.00000000e+00 
 4.57478736e-06  7.62762679e-01  1.12181039e+00  0.00000000e+00 
 4.57549175e-06  7.61445594e-01  1.13237621e+00  0.00000000e+00 
 4.57612909e-06  7.60748314e-01  1.14193641e+00  0.00000000e+00 
 4.57740379e-06  7.59573130e-01  1.16105683e+00  0.00000000e+00 
 4.57965727e-06  7.57861743e-01  1.19485912e+00  0.00000000e+00 
 4.58204496e-06  7.56425002e-01  1.23067445e+00  0.00000000e+00 
 4.58682034e-06  7.54051372e-01  1.30230513e+00  0.00000000e+00 
 4.59383105e-06  7.51080619e-01  1.40746575e+00  0.00000000e+00 
 4.60000000e-06  7.48753067e-01  1.50000000e+00  0.00000000e+00 
 4.60085929e-06  7.48522268e-01  1.50000000e+00  0.00000000e+00 
 4.60257787e-06  7.48145083e-01  1.50000000e+00  0.00000000e+00 
 4.60575880e-06  7.47430800e-01  1.50000000e+00  0.00000000e+00 
 4.61177122e-06  7.46093552e-01  1.50000000e+00  0.00000000e+00 
 4.62379604e-06  7.43493483e-01  1.50000000e+00  0.00000000e+00 
 4.64784570e-06  7.38624914e-01  1.50000000e+00  0.00000000e+00 
 4.69198402e-06  7.32026846e-01  1.50000000e+00  0.00000000e+00 
 4.70779963e-06  7.31088491e-01  1.50000000e+00  0.00000000e+00 
 4.72012287e-06  7.30839909e-01  1.50000000e+00  0.00000000e+00 
 4.72999873e-06  7.30775825e-01  1.50000000e+00  0.00000000e+00 
 4.74103612e-06  7.30747658e-01  1.50000000e+00  0.00000000e+00 
 4.75444416e-06  7.30733016e-01  1.50000000e+00  0.00000000e+00 
 4.77017589e-06  7.30725186e-01  1.50000000e+00  0.00000000e+00 
 4.78087131e-06  7.30722076e-01  1.50000000e+00  0.00000000e+00 
 4.79109921e-06  7.30719957e-01  1.50000000e+00  0.00000000e+00 
 4.80214621e-06  7.30718234e-01  1.50000000e+00  0.00000000e+00 
 4.81433773e-06  7.30716779e-01  1.50000000e+00  0.00000000e+00 
 4.82720221e-06  7.30715571e-01  1.50000000e+00  0.00000000e+00 
 4.84170993e-06  7.30714509e-01  1.50000000e+00  0.00000000e+00 
 4.85768838e-06  7.30713605e-01  1.50000000e+00  0.00000000e+00 
 4.87639324e-06  7.30712753e-01  1.50000000e+00  0.00000000e+00 
 4.89816656e-06  7.30712077e-01  1.50000000e+00  0.00000000e+00 
 4.92514360e-06  7.30711467e-01  1.50000000e+00  0.00000000e+00 
 4.95891523e-06  7.30710934e-01  1.50000000e+00  0.00000000e+00 
 5.00476453e-06  7.30710446e-01  1.50000000e+00  0.00000000e+00 
 5.07088665e-06  7.30709988e-01  1.50000000e+00  0.00000000e+00 
 5.18246981e-06  7.30709472e-01  1.50000000e+00  0.00000000e+00 
 5.40563614e-06  7.30708683e-01  1.50000000e+00  0.00000000e+00 
 5.85196879e-06  7.30707215e-01  1.50000000e+00  0.00000000e+00 
 6.60000000e-06  7.30704751e-01  1.50000000e+00  0.00000000e+00 
 6.60319978e-06  7.31738088e-01  1.45200325e+00  0.00000000e+00 
 6.60959935e-06  7.34994737e-01  1.35600975e+00  0.00000000e+00 
 6.61189497e-06  7.36464378e-01  1.32157538e+00  0.00000000e+00 
 6.61515896e-06  7.38849401e-01  1.27261557e+00  0.00000000e+00 
 6.61796663e-06  7.41327633e-01  1.23050051e+00  0.00000000e+00 
 6.62009158e-06  7.43667154e-01  1.19862631e+00  0.00000000e+00 
 6.62162031e-06  7.45781282e-01  1.17569542e+00  0.00000000e+00 
 6.62285856e-06  7.47918862e-01  1.15712157e+00  0.00000000e+00 
 6.62405430e-06  7.50517393e-01  1.13918543e+00  0.00000000e+00 
 6.62534223e-06  7.54136352e-01  1.11986655e+00  0.00000000e+00 
 6.62678048e-06  7.59527560e-01  1.09829273e+00  0.00000000e+00 
 6.62830335e-06  7.67225934e-01  1.07544982e+00  0.00000000e+00 
 6.62991252e-06  7.78063786e-01  1.05131215e+00  0.00000000e+00 
 6.63125100e-06  7.89164944e-01  1.03123502e+00  0.00000000e+00 
 6.63221026e-06  7.97448900e-01  1.01684610e+00  0.00000000e+00 
 6.63335689e-06  8.09622640e-01  9.99646700e-01  0.00000000e+00 
 6.63485277e-06  8.29347861e-01  9.77208509e-01  0.00000000e+00 
 6.63620962e-06  8.50208345e-01  9.56855679e-01  0.00000000e+00 
 6.63892333e-06  8.99792492e-01  9.16150018e-01  0.00000000e+00 
 6.64225235e-06  9.74296075e-01  8.66214686e-01  0.00000000e+00 
 6.64710784e-06  1.09839254e+00  7.93382414e-01  0.00000000e+00 
 6.64998083e-06  1.16763132e+00  7.50287547e-01  0.00000000e+00 
 6.65207844e-06  1.21080666e+00  7.18823413e-01  0.00000000e+00 
 6.65335465e-06  1.23353470e+00  6.99680301e-01  0.00000000e+00 
 6.65486807e-06  1.25779284e+00  6.76978921e-01  0.00000000e+00 
 6.65673976e-06  1.28465152e+00  6.48903659e-01  0.00000000e+00 
 6.65900571e-06  1.31428415e+00  6.14914364e-01  0.00000000e+00 
 6.66239944e-06  1.35812049e+00  5.64008441e-01  0.00000000e+00 
 6.66372474e-06  1.37663730e+00  5.44128897e-01  0.00000000e+00 
 6.66463600e-06  1.38975426e+00  5.30459969e-01  0.00000000e+00 
 6.66525252e-06  1.39739297e+00  5.21212159e-01  0.00000000e+00 
 6.66582319e-06  1.39910392e+00  5.12652143e-01  0.00000000e+00 
 6.66637892e-06  1.39947997e+00  5.04316181e-01  0.00000000e+00 
 6.66681364e-06  1.39975763e+00  4.97795397e-01  0.00000000e+00 
 6.66728391e-06  1.40009356e+00  4.90741329e-01  0.00000000e+00 
 6.66778006e-06  1.40044927e+00  4.83299121e-01  0.00000000e+00 
 6.66841373e-06  1.40089455e+00  4.73794072e-01  0.00000000e+00 
 6.66933765e-06  1.40152733e+00  4.59935198e-01  0.00000000e+00 
 6.67104789e-06  1.40265076e+00  4.34281674e-01  0.00000000e+00 
 6.67326909e-06  1.40402278e+00  4.00963687e-01  0.00000000e+00 
 6.67653039e-06  1.40587538e+00  3.52044078e-01  0.00000000e+00 
 6.68113575e-06  1.40820526e+00  2.82963779e-01  0.00000000e+00 
 6.68721600e-06  1.41085554e+00  1.91760010e-01  0.00000000e+00 
 6.69502781e-06  1.41370170e+00  7.45827999e-02  0.00000000e+00 
 6.70000000e-06  1.41525525e+00  0.00000000e+00  0.00000000e+00 
 6.70086947e-06  1.41527461e+00  0.00000000e+00  0.00000000e+00 
 6.70260841e-06  1.41527556e+00  0.00000000e+00  0.00000000e+00 
 6.70595683e-06  1.41527521e+00  0.00000000e+00  0.00000000e+00 
