 time            vo1             vo2             q               p1              p2             
 3.60256577e-05 -1.50591676e-01 -6.95623777e-01  6.50968523e-08  1.20000000e+00  0.00000000e+00 
 3.60284465e-05 -1.50591678e-01 -7.00293516e-01  6.50968520e-08  1.20000000e+00  0.00000000e+00 
 3.60311386e-05 -1.50591680e-01 -7.04481186e-01  6.50968522e-08  1.20000000e+00  0.00000000e+00 
 3.60338878e-05 -1.50591681e-01 -7.08410160e-01  6.50968521e-08  1.20000000e+00  0.00000000e+00 
 3.60365803e-05 -1.50591682e-01 -7.11913138e-01  6.50968524e-08  1.20000000e+00  0.00000000e+00 
 3.60393184e-05 -1.50591683e-01 -7.15133657e-01  6.50968521e-08  1.20000000e+00  0.00000000e+00 
 3.60420233e-05 -1.50591684e-01 -7.17992199e-01  6.50968523e-08  1.20000000e+00  0.00000000e+00 
 3.60447618e-05 -1.50591685e-01 -7.20580417e-01  6.50968522e-08  1.20000000e+00  0.00000000e+00 
 3.60474799e-05 -1.50591685e-01 -7.22868100e-01  6.50968520e-08  1.20000000e+00  0.00000000e+00 
 3.60502225e-05 -1.50591686e-01 -7.24916920e-01  6.50968522e-08  1.20000000e+00  0.00000000e+00 
 3.60529535e-05 -1.50591686e-01 -7.26722187e-01  6.50968523e-08  1.20000000e+00  0.00000000e+00 
 3.60557036e-05 -1.50591687e-01 -7.28326871e-01  6.50968520e-08  1.20000000e+00  0.00000000e+00 
 3.60584488e-05 -1.50591687e-01 -7.29737638e-01  6.50968525e-08  1.20000000e+00  0.00000000e+00 
 3.60612104e-05 -1.50591687e-01 -7.30985148e-01  6.50968521e-08  1.20000000e+00  0.00000000e+00 
 3.60639726e-05 -1.50591688e-01 -7.32080056e-01  6.50968524e-08  1.20000000e+00  0.00000000e+00 
 3.60668054e-05 -1.50591688e-01 -7.33062567e-01  6.50968524e-08  1.20000000e+00  0.00000000e+00 
 3.60697944e-05 -1.50591688e-01 -7.33964137e-01  6.50968520e-08  1.20000000e+00  0.00000000e+00 
 3.60729136e-05 -1.50591688e-01 -7.34775903e-01  6.50968522e-08  1.20000000e+00  0.00000000e+00 
 3.60762219e-05 -1.50591688e-01 -7.35512471e-01  6.50968522e-08  1.20000000e+00  0.00000000e+00 
 3.60796914e-05 -1.50591688e-01 -7.36167079e-01  6.50968522e-08  1.20000000e+00  0.00000000e+00 
 3.60833753e-05 -1.50591689e-01 -7.36750258e-01  6.50968521e-08  1.20000000e+00  0.00000000e+00 
 3.60872618e-05 -1.50591689e-01 -7.37260763e-01  6.50968522e-08  1.20000000e+00  0.00000000e+00 
 3.60914058e-05 -1.50591689e-01 -7.37706989e-01  6.50968521e-08  1.20000000e+00  0.00000000e+00 
 3.60958122e-05 -1.50591689e-01 -7.38090680e-01  6.50968521e-08  1.20000000e+00  0.00000000e+00 
 3.61005416e-05 -1.50591689e-01 -7.38418657e-01  6.50968520e-08  1.20000000e+00  0.00000000e+00 
 3.61056180e-05 -1.50591689e-01 -7.38694168e-01  6.50968523e-08  1.20000000e+00  0.00000000e+00 
 3.61111156e-05 -1.50591689e-01 -7.38923053e-01  6.50968520e-08  1.20000000e+00  0.00000000e+00 
 3.61170853e-05 -1.50591689e-01 -7.39109325e-01  6.50968522e-08  1.20000000e+00  0.00000000e+00 
 3.61236287e-05 -1.50591689e-01 -7.39258223e-01  6.50968522e-08  1.20000000e+00  0.00000000e+00 
 3.61308417e-05 -1.50591689e-01 -7.39374064e-01  6.50968522e-08  1.20000000e+00  0.00000000e+00 
 3.61388814e-05 -1.50591689e-01 -7.39461647e-01  6.50968521e-08  1.20000000e+00  0.00000000e+00 
 3.61479278e-05 -1.50591689e-01 -7.39525271e-01  6.50968524e-08  1.20000000e+00  0.00000000e+00 
 3.61579278e-05 -1.50591689e-01 -7.39568135e-01  6.50968521e-08  1.20000000e+00  0.00000000e+00 
 3.61679278e-05 -1.50591689e-01 -7.39593069e-01  6.50968520e-08  1.20000000e+00  0.00000000e+00 
 3.61779278e-05 -1.50591689e-01 -7.39607284e-01  6.50968523e-08  1.20000000e+00  0.00000000e+00 
 3.61879278e-05 -1.50591689e-01 -7.39615264e-01  6.50968520e-08  1.20000000e+00  0.00000000e+00 
 3.61979278e-05 -1.50591688e-01 -7.39619690e-01  6.50968522e-08  1.20000000e+00  0.00000000e+00 
 3.62079278e-05 -1.50591688e-01 -7.39622120e-01  6.50968522e-08  1.20000000e+00  0.00000000e+00 
 3.62179278e-05 -1.50591688e-01 -7.39623443e-01  6.50968521e-08  1.20000000e+00  0.00000000e+00 
 3.62279278e-05 -1.50591688e-01 -7.39624159e-01  6.50968521e-08  1.20000000e+00  0.00000000e+00 
 3.62379278e-05 -1.50591688e-01 -7.39624544e-01  6.50968521e-08  1.20000000e+00  0.00000000e+00 
 3.62479278e-05 -1.50591688e-01 -7.39624749e-01  6.50968520e-08  1.20000000e+00  0.00000000e+00 
 3.62579278e-05 -1.50591688e-01 -7.39624859e-01  6.50968520e-08  1.20000000e+00  0.00000000e+00 
